epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7684,1.33255,1.80122,2.41394,1.10127,0.98836,0.62567,0.85216,0.61584,0.98836,0.62567,0.86304,0.59992,0.98937,0.95936,2.16375,0.9466,0.000551221,0.000551221,0.000551221
2,24.5329,1.07661,1.30328,1.46682,0.97985,0.98767,0.97,0.99314,0.76995,0.98871,0.971,0.99333,0.69311,0.81743,0.93545,0.93336,0.90902,0.00105708,0.00105708,0.00105708
3,36.0074,0.96281,1.18089,1.14598,0.94875,0.99791,0.97631,0.99406,0.80878,0.99583,0.97431,0.9937,0.62218,0.72023,1.11948,0.79924,0.8921,0.00151292,0.00151292,0.00151292
4,47.6524,0.93664,1.14503,1.06781,0.95096,0.98345,0.999,0.99353,0.79521,0.98345,0.999,0.99353,0.74168,0.72769,0.81485,0.71372,0.90099,0.00144195,0.00144195,0.00144195
5,59.3018,0.83847,1.00102,0.90999,0.92219,0.98252,0.994,0.99437,0.82668,0.98252,0.994,0.99437,0.79048,0.6836,0.63116,0.68878,0.88073,0.00136694,0.00136694,0.00136694
6,71.2631,0.8333,0.98377,0.85761,0.91778,0.989,0.9953,0.99425,0.82508,0.98703,0.99388,0.99048,0.76812,0.698,0.69728,0.60406,0.88302,0.00129193,0.00129193,0.00129193
7,82.9331,0.77158,0.8616,0.78667,0.9046,0.99936,0.998,0.995,0.85322,0.99936,0.998,0.995,0.78047,0.61715,0.58662,0.55033,0.87027,0.00121691,0.00121691,0.00121691
8,94.5812,0.75088,0.87893,0.72665,0.89784,0.99652,1,0.99499,0.87123,0.99652,1,0.99499,0.81127,0.56981,0.55019,0.49342,0.86349,0.0011419,0.0011419,0.0011419
9,105.942,0.72737,0.82926,0.68419,0.87693,0.99159,0.996,0.99479,0.86798,0.99159,0.996,0.99479,0.8178,0.55167,0.59706,0.48038,0.83589,0.00106688,0.00106688,0.00106688
10,117.292,0.6685,0.78064,0.63307,0.87031,0.99557,0.99974,0.99423,0.87368,0.99557,0.99974,0.99423,0.82536,0.53832,0.48769,0.46414,0.84262,0.000991865,0.000991865,0.000991865
11,154.912,0.64372,0.6537,0.63054,0.86465,0.99874,0.99777,0.995,0.87378,0.99874,0.99777,0.995,0.81159,0.54565,0.52296,0.46046,0.8481,0.00091685,0.00091685,0.00091685
12,166.131,0.60878,0.58438,0.58768,0.86243,0.99957,0.999,0.995,0.88578,0.99957,0.999,0.995,0.82782,0.49897,0.43256,0.42003,0.83527,0.000841835,0.000841835,0.000841835
13,177.381,0.58573,0.56897,0.54755,0.85312,0.99809,1,0.995,0.90891,0.99809,1,0.995,0.83623,0.46442,0.44631,0.41363,0.82647,0.00076682,0.00076682,0.00076682
14,188.698,0.57482,0.57975,0.53156,0.84156,0.99713,1,0.99498,0.89376,0.99713,1,0.99498,0.85186,0.49204,0.44482,0.40069,0.8263,0.000691805,0.000691805,0.000691805
15,199.915,0.54938,0.5519,0.50263,0.83293,0.99974,0.99972,0.995,0.90867,0.99974,0.99972,0.995,0.86823,0.46484,0.42449,0.39334,0.82023,0.00061679,0.00061679,0.00061679
16,211.124,0.52236,0.5143,0.48953,0.82868,0.99581,1,0.99483,0.91673,0.99581,1,0.99483,0.84491,0.43418,0.4073,0.37983,0.81569,0.000541775,0.000541775,0.000541775
17,222.342,0.51283,0.52232,0.46539,0.83458,0.99646,0.999,0.99498,0.91444,0.99646,0.999,0.99498,0.85366,0.43506,0.41016,0.36314,0.81674,0.00046676,0.00046676,0.00046676
18,233.552,0.48937,0.51749,0.44443,0.82655,0.9996,1,0.995,0.91889,0.9996,1,0.995,0.85901,0.41038,0.41913,0.34178,0.80606,0.000391745,0.000391745,0.000391745
19,244.78,0.48128,0.50664,0.43497,0.82137,0.99958,1,0.995,0.93456,0.99958,1,0.995,0.86653,0.39212,0.37767,0.34025,0.80532,0.00031673,0.00031673,0.00031673
20,256.079,0.44486,0.45343,0.41283,0.81323,0.9987,1,0.995,0.9395,0.9987,1,0.995,0.88155,0.36513,0.35985,0.32684,0.80095,0.000241715,0.000241715,0.000241715
