epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4841,0.72915,1.91709,1.79612,1.1981,0.98873,0.996,0.99449,0.89472,0.98873,0.996,0.99449,0.64364,0.48299,1.11799,1.24865,1.13548,0.000661333,0.000661333,0.000661333
2,26.0162,0.63142,1.21568,1.02971,1.09696,0.99202,0.99471,0.9949,0.90871,0.99596,0.98611,0.99488,0.68268,0.4663,0.98195,0.87307,0.96202,0.00126824,0.00126824,0.00126824
3,38.5961,0.59318,1.08633,0.85977,1.08212,0.99798,0.98906,0.9949,0.93396,0.99798,0.98906,0.9949,0.76717,0.39257,0.79393,0.67831,0.91673,0.00181515,0.00181515,0.00181515
4,51.2311,0.63193,1.03363,0.82949,1.09138,0.9998,1,0.995,0.93771,0.9998,1,0.995,0.77228,0.36019,0.71679,0.51778,0.87196,0.00173,0.00173,0.00173
5,63.8781,0.52611,0.98195,0.67786,1.02417,0.99854,0.994,0.995,0.95523,0.99854,0.994,0.995,0.79419,0.31824,0.73176,0.45664,0.82665,0.00164,0.00164,0.00164
6,76.2405,0.49372,0.92087,0.61217,1.00788,0.99982,1,0.995,0.92966,0.99982,1,0.995,0.8315,0.35837,0.58236,0.46151,0.86289,0.00155,0.00155,0.00155
7,88.8157,0.49685,0.83691,0.56592,1.01937,0.99976,1,0.995,0.97159,0.99792,0.998,0.995,0.82946,0.28659,0.58292,0.39729,0.79708,0.00146,0.00146,0.00146
8,101.413,0.44087,0.80572,0.50345,0.9848,0.9999,1,0.995,0.96524,0.9999,1,0.995,0.80951,0.31209,0.6496,0.37959,0.8277,0.00137,0.00137,0.00137
9,114.015,0.48813,0.87299,0.50168,1.01226,0.99989,1,0.995,0.96226,0.99989,1,0.995,0.8364,0.28249,0.55928,0.34174,0.79039,0.00128,0.00128,0.00128
10,126.657,0.44057,0.79282,0.45714,0.97778,0.99988,1,0.995,0.97769,0.99988,1,0.995,0.83706,0.26756,0.54596,0.30708,0.77072,0.00119,0.00119,0.00119
11,165.699,0.34395,0.73255,0.49981,0.97592,0.99919,1,0.995,0.97423,0.99919,1,0.995,0.84614,0.30199,0.56853,0.36821,0.80833,0.0011,0.0011,0.0011
12,178.821,0.29876,0.62506,0.38668,0.94156,0.99944,0.994,0.995,0.95697,0.99944,0.994,0.995,0.85773,0.31286,0.51354,0.38191,0.81248,0.00101,0.00101,0.00101
13,191.698,0.279,0.56638,0.34931,0.93579,0.99988,1,0.995,0.97179,0.99988,1,0.995,0.85789,0.25808,0.47761,0.26977,0.76765,0.00092,0.00092,0.00092
14,205.106,0.26587,0.56164,0.3151,0.90138,0.99989,1,0.995,0.99301,0.99989,1,0.995,0.86047,0.20977,0.45937,0.22334,0.71256,0.00083,0.00083,0.00083
15,218.481,0.23634,0.53058,0.28364,0.87559,0.99989,1,0.995,0.9898,0.99989,1,0.995,0.86714,0.2,0.44223,0.20506,0.70467,0.00074,0.00074,0.00074
16,231.829,0.21284,0.50852,0.25278,0.85142,0.99989,1,0.995,0.99333,0.99989,1,0.995,0.86903,0.18726,0.44096,0.18931,0.69794,0.00065,0.00065,0.00065
17,245.074,0.2119,0.49069,0.24823,0.8673,0.99989,1,0.995,0.99471,0.99989,1,0.995,0.87555,0.17032,0.41717,0.17628,0.68957,0.00056,0.00056,0.00056
18,258.203,0.19264,0.47921,0.22691,0.84616,0.99989,1,0.995,0.99366,0.99989,1,0.995,0.8809,0.15821,0.41402,0.15739,0.68017,0.00047,0.00047,0.00047
19,271.582,0.19155,0.50432,0.21639,0.85284,0.99989,1,0.995,0.99495,0.99989,1,0.995,0.8804,0.16261,0.41372,0.16088,0.68389,0.00038,0.00038,0.00038
20,284.93,0.17874,0.46594,0.20675,0.84468,0.99989,1,0.995,0.99498,0.99989,1,0.995,0.8858,0.14226,0.40135,0.14793,0.66879,0.00029,0.00029,0.00029
