epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.729,0.97763,1.64525,1.43987,1.3624,0.66787,0.662,0.71418,0.46245,0.65375,0.648,0.63067,0.38659,1.39295,2.34217,4.02696,3.57027,0.000661333,0.000661333,0.000661333
2,51.2024,1.1824,1.55933,1.19426,1.46227,0.30684,0.602,0.41944,0.23339,0.29642,0.572,0.37691,0.09343,1.37815,4.18744,13.6029,2.48123,0.0013041,0.0013041,0.0013041
3,76.1708,1.15864,1.61007,1.00226,1.45145,0.52567,0.64,0.46164,0.16592,0,0,0,0,2.70545,13.8787,7.6175,8.76626,0.00192286,0.00192286,0.00192286
4,101.082,1.05993,1.5423,0.97155,1.37424,0.87115,0.81,0.87002,0.67583,0.92422,0.68,0.68623,0.44092,1.11172,2.26187,1.33858,2.28402,0.001892,0.001892,0.001892
5,126.027,0.8907,1.56813,0.79076,1.26226,0.95153,0.972,0.98893,0.75216,0.95922,0.94093,0.96726,0.46915,0.9787,1.89756,0.77383,1.65287,0.001856,0.001856,0.001856
6,151.14,0.82934,1.37807,0.74341,1.23346,0.9928,0.97,0.99373,0.84802,0.9928,0.97,0.99373,0.66754,0.7671,1.06502,0.54054,1.31074,0.00182,0.00182,0.00182
7,176.535,0.73056,1.22657,0.65653,1.15829,0.93849,0.866,0.92982,0.84827,0.93632,0.864,0.92366,0.63524,0.48475,1.28621,0.68697,1.03187,0.001784,0.001784,0.001784
8,201.871,0.62318,1.03474,0.56392,1.09291,0.9872,0.92527,0.97478,0.86783,0.99781,0.91096,0.95431,0.71913,0.53272,1.03528,0.45684,1.01483,0.001748,0.001748,0.001748
9,227.55,0.68569,1.17607,0.62531,1.10631,0.9932,0.998,0.995,0.93143,0.9932,0.998,0.995,0.75226,0.4256,0.80986,0.4097,0.89502,0.001712,0.001712,0.001712
10,253.077,0.70419,1.04439,0.5884,1.11337,0.98893,0.998,0.9949,0.83606,0.98893,0.998,0.9949,0.69767,0.74367,0.8863,0.53465,1.25456,0.001676,0.001676,0.001676
11,278.835,0.72909,1.016,0.60305,1.13128,0.99974,1,0.995,0.94657,0.99974,1,0.995,0.77746,0.39873,0.71897,0.33018,0.8919,0.00164,0.00164,0.00164
